timestamp(date),trip_id(Varchar2(60)),depart_airport(Varchar2(4)),return_airport(Varchar2(4)),depart_date(date),return_date(date),total_cost(Integer),depart_datetime(date),depart_duration(Integer),depart_stops(Integer),return_datetime(date),return_duration(integer),return_stops(integer)
6/26/2022 9:46,SJC-MSY-08/18/2022-08/22/2022,SJC,MSY,8/18/2022,8/22/2022,669,8/18/2022 14:22,393,1,8/22/2022 10:45,595,2
6/26/2022 9:47,SJC-MSY-08/25/2022-08/29/2022,SJC,MSY,8/25/2022,8/29/2022,734,8/25/2022 9:15,685,2,8/29/2022 6:00,569,1
6/26/2022 9:48,SJC-MSY-09/01/2022-09/05/2022,SJC,MSY,9/1/2022,9/5/2022,848,9/1/2022 11:45,441,1,9/5/2022 6:00,415,1
6/26/2022 9:49,SJC-MSY-09/08/2022-09/12/2022,SJC,MSY,9/8/2022,9/12/2022,665,9/8/2022 12:08,417,1,9/12/2022 7:00,378,1
6/26/2022 9:50,SJC-MSY-09/15/2022-09/19/2022,SJC,MSY,9/15/2022,9/19/2022,742,9/15/2022 14:22,399,1,9/19/2022 12:43,590,1
6/26/2022 9:51,SJC-MSY-09/22/2022-09/26/2022,SJC,MSY,9/22/2022,9/26/2022,759,9/22/2022 6:10,551,1,9/26/2022 16:15,378,1
6/26/2022 9:52,SJC-MSY-09/29/2022-10/03/2022,SJC,MSY,9/29/2022,10/3/2022,813,9/29/2022 6:10,551,1,10/3/2022 16:15,378,1
6/26/2022 9:53,SJC-MSY-10/06/2022-10/10/2022,SJC,MSY,10/6/2022,10/10/2022,668,10/6/2022 12:06,434,1,10/10/2022 7:15,500,1
6/26/2022 9:54,SJC-MSY-10/13/2022-10/17/2022,SJC,MSY,10/13/2022,10/17/2022,787,10/13/2022 12:06,509,1,10/17/2022 7:15,500,1
6/26/2022 9:55,SJC-MSY-10/20/2022-10/24/2022,SJC,MSY,10/20/2022,10/24/2022,854,10/20/2022 12:06,434,1,10/24/2022 11:28,787,1
6/26/2022 9:56,SJC-MSY-10/27/2022-10/31/2022,SJC,MSY,10/27/2022,10/31/2022,836,10/27/2022 12:06,434,1,10/31/2022 13:22,688,1
6/26/2022 9:57,SJC-MSY-11/03/2022-11/07/2022,SJC,MSY,11/3/2022,11/7/2022,680,11/3/2022 11:58,536,2,11/7/2022 14:36,567,1
6/26/2022 9:59,SJC-MSY-11/10/2022-11/14/2022,SJC,MSY,11/10/2022,11/14/2022,680,11/10/2022 11:58,536,2,11/14/2022 14:36,567,1
6/26/2022 10:00,SJC-MSY-11/17/2022-11/21/2022,SJC,MSY,11/17/2022,11/21/2022,596,11/17/2022 12:20,363,1,11/21/2022 18:03,385,1
6/26/2022 10:01,SJC-MSY-11/24/2022-11/28/2022,SJC,MSY,11/24/2022,11/28/2022,697,11/24/2022 14:22,341,1,11/28/2022 14:36,567,1
6/26/2022 10:02,SJC-MSY-12/01/2022-12/05/2022,SJC,MSY,12/1/2022,12/5/2022,501,12/1/2022 7:32,514,2,12/5/2022 14:36,567,1
6/26/2022 10:03,SJC-MSY-12/08/2022-12/12/2022,SJC,MSY,12/8/2022,12/12/2022,497,12/8/2022 6:00,492,1,12/12/2022 14:36,567,1
6/26/2022 10:05,SJC-MSY-12/22/2022-12/26/2022,SJC,MSY,12/22/2022,12/26/2022,1160,12/22/2022 14:22,341,1,12/26/2022 18:03,385,1
6/26/2022 10:06,SJC-MSY-12/29/2022-01/02/2023,SJC,MSY,12/29/2022,1/2/2023,1050,12/29/2022 14:22,341,1,1/2/2023 14:36,567,1
6/26/2022 10:07,LAX-MUC-07/01/2022-07/05/2022,LAX,MUC,7/1/2022,7/5/2022,3010,7/1/2022 7:30,870,1,7/5/2022 9:15,985,1
6/26/2022 10:08,LAX-MUC-07/08/2022-07/12/2022,LAX,MUC,7/8/2022,7/12/2022,2169,7/8/2022 7:35,865,1,7/12/2022 9:15,1147,2
6/26/2022 10:09,LAX-MUC-07/15/2022-07/19/2022,LAX,MUC,7/15/2022,7/19/2022,2053,7/15/2022 7:35,865,1,7/19/2022 16:15,1790,1
6/26/2022 10:10,LAX-MUC-07/22/2022-07/26/2022,LAX,MUC,7/22/2022,7/26/2022,1908,7/22/2022 7:35,865,1,7/26/2022 7:15,1365,2
6/26/2022 10:11,LAX-MUC-07/29/2022-08/02/2022,LAX,MUC,7/29/2022,8/2/2022,2388,7/29/2022 7:35,865,1,8/2/2022 7:15,1157,2
6/26/2022 10:12,LAX-MUC-08/05/2022-08/09/2022,LAX,MUC,8/5/2022,8/9/2022,2063,8/5/2022 7:35,865,1,8/9/2022 7:15,1157,2
6/26/2022 10:14,LAX-MUC-08/12/2022-08/16/2022,LAX,MUC,8/12/2022,8/16/2022,1855,8/12/2022 7:35,865,1,8/16/2022 9:15,1122,1
6/26/2022 10:15,LAX-MUC-08/19/2022-08/23/2022,LAX,MUC,8/19/2022,8/23/2022,2010,8/19/2022 7:30,870,1,8/23/2022 9:15,987,1
6/26/2022 10:16,LAX-MUC-08/26/2022-08/30/2022,LAX,MUC,8/26/2022,8/30/2022,1855,8/26/2022 7:30,870,1,8/30/2022 9:15,987,1
6/26/2022 10:17,LAX-MUC-09/02/2022-09/06/2022,LAX,MUC,9/2/2022,9/6/2022,1855,9/2/2022 7:30,870,1,9/6/2022 9:15,987,1
6/26/2022 10:18,LAX-MUC-09/09/2022-09/13/2022,LAX,MUC,9/9/2022,9/13/2022,1545,9/9/2022 6:00,960,1,9/13/2022 9:15,985,1
6/26/2022 10:19,LAX-MUC-09/16/2022-09/20/2022,LAX,MUC,9/16/2022,9/20/2022,1620,9/16/2022 7:27,873,1,9/20/2022 9:15,985,1
6/26/2022 10:20,LAX-MUC-09/23/2022-09/27/2022,LAX,MUC,9/23/2022,9/27/2022,1695,9/23/2022 7:27,873,1,9/27/2022 9:15,985,1
6/26/2022 10:22,LAX-MUC-09/30/2022-10/04/2022,LAX,MUC,9/30/2022,10/4/2022,1695,9/30/2022 7:27,873,1,10/4/2022 9:15,985,1
6/26/2022 10:23,LAX-MUC-10/07/2022-10/11/2022,LAX,MUC,10/7/2022,10/11/2022,1545,10/7/2022 7:20,880,1,10/11/2022 9:15,1001,1
6/26/2022 10:24,LAX-MUC-10/14/2022-10/18/2022,LAX,MUC,10/14/2022,10/18/2022,1545,10/14/2022 7:20,880,1,10/18/2022 9:15,1001,1
6/26/2022 10:25,LAX-MUC-10/21/2022-10/25/2022,LAX,MUC,10/21/2022,10/25/2022,1545,10/21/2022 7:20,880,1,10/25/2022 9:15,1001,1
6/26/2022 10:26,LAX-MUC-10/28/2022-11/01/2022,LAX,MUC,10/28/2022,11/1/2022,1345,10/28/2022 7:20,880,1,11/1/2022 9:30,1045,1
6/26/2022 10:27,LAX-MUC-11/04/2022-11/08/2022,LAX,MUC,11/4/2022,11/8/2022,1345,11/4/2022 8:10,860,1,11/8/2022 9:30,1105,1
6/26/2022 10:28,LAX-MUC-11/11/2022-11/15/2022,LAX,MUC,11/11/2022,11/15/2022,1500,11/11/2022 6:00,930,1,11/15/2022 9:30,1326,1
6/26/2022 10:29,LAX-MUC-11/18/2022-11/22/2022,LAX,MUC,11/18/2022,11/22/2022,1545,11/18/2022 6:00,930,1,11/22/2022 9:30,1105,1
6/26/2022 10:31,LAX-MUC-12/02/2022-12/06/2022,LAX,MUC,12/2/2022,12/6/2022,1345,12/2/2022 6:00,930,1,12/6/2022 9:30,1105,1
6/26/2022 10:32,LAX-MUC-12/09/2022-12/13/2022,LAX,MUC,12/9/2022,12/13/2022,1345,12/9/2022 6:00,930,1,12/13/2022 9:30,1105,1
6/26/2022 10:33,LAX-MUC-12/16/2022-12/20/2022,LAX,MUC,12/16/2022,12/20/2022,1599,12/16/2022 6:00,930,1,12/20/2022 9:30,1190,2
6/26/2022 10:34,LAX-MUC-12/23/2022-12/27/2022,LAX,MUC,12/23/2022,12/27/2022,1793,12/23/2022 6:00,930,1,12/27/2022 7:40,870,1
6/26/2022 10:35,LAX-MUC-12/30/2022-01/03/2023,LAX,MUC,12/30/2022,1/3/2023,1700,12/30/2022 6:00,930,1,1/3/2023 9:30,1105,1
