timestamp,trip_id,depart_airport,return_airport,flight_code,depart_date,return_date,total_cost,depart_datetime,flight_time,depart_duration,depart_stops,return_datetime,return_duration,return_stops
6/26/22 9:33,SFO-IAD-11/24/2022-11/28/2022,SFO,IAD,SFO to IAD,11/24/22,11/28/22,665,11/24/22 11:30,11:30 AM,543,1,11/28/22 16:05,368,0
6/26/22 9:34,SFO-IAD-12/01/2022-12/05/2022,SFO,IAD,SFO to IAD,12/1/22,12/5/22,525,12/1/22 11:30,11:30 AM,543,1,12/5/22 6:39,629,1
6/26/22 9:35,SFO-IAD-12/08/2022-12/12/2022,SFO,IAD,SFO to IAD,12/8/22,12/12/22,485,12/8/22 11:30,11:30 AM,543,1,12/12/22 6:39,629,1
6/26/22 9:36,SFO-IAD-12/15/2022-12/19/2022,SFO,IAD,SFO to IAD,12/15/22,12/19/22,647,12/15/22 11:30,11:30 AM,543,1,12/19/22 16:05,368,0
6/26/22 9:37,SFO-IAD-12/22/2022-12/26/2022,SFO,IAD,SFO to IAD,12/22/22,12/26/22,836,12/22/22 23:55,11:55 PM,459,1,12/26/22 16:05,368,0
6/26/22 9:38,SFO-IAD-12/29/2022-01/02/2023,SFO,IAD,SFO to IAD,12/29/22,1/2/23,657,12/29/22 23:55,11:55 PM,459,1,1/2/23 16:05,368,0
6/26/22 9:39,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,SJC to MSY,6/30/22,7/4/22,1470,6/30/22 12:37,12:37 PM,484,2,7/4/22 6:00,420,1
6/26/22 9:40,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,SJC to MSY,7/7/22,7/11/22,938,7/7/22 6:10,6:10 AM,414,1,7/11/22 6:00,472,2
6/26/22 9:41,SJC-MSY-07/14/2022-07/18/2022,SJC,MSY,SJC to MSY,7/14/22,7/18/22,897,7/14/22 9:08,9:08 AM,598,2,7/18/22 6:00,710,2
6/26/22 9:42,SJC-MSY-07/21/2022-07/25/2022,SJC,MSY,SJC to MSY,7/21/22,7/25/22,1125,7/21/22 9:08,9:08 AM,693,2,7/25/22 11:07,564,2
6/26/22 9:43,SJC-MSY-07/28/2022-08/01/2022,SJC,MSY,SJC to MSY,7/28/22,8/1/22,1034,7/28/22 13:55,1:55 PM,431,1,8/1/22 11:07,673,1
6/26/22 9:44,SJC-MSY-08/04/2022-08/08/2022,SJC,MSY,SJC to MSY,8/4/22,8/8/22,1011,8/4/22 6:10,6:10 AM,652,1,8/8/22 7:25,625,2
6/26/22 9:45,SJC-MSY-08/11/2022-08/15/2022,SJC,MSY,SJC to MSY,8/11/22,8/15/22,860,8/11/22 13:55,1:55 PM,437,1,8/15/22 15:55,385,1
6/26/22 9:46,SJC-MSY-08/18/2022-08/22/2022,SJC,MSY,SJC to MSY,8/18/22,8/22/22,669,8/18/22 14:22,2:22 PM,393,1,8/22/22 10:45,595,2
6/26/22 9:47,SJC-MSY-08/25/2022-08/29/2022,SJC,MSY,SJC to MSY,8/25/22,8/29/22,734,8/25/22 9:15,9:15 AM,685,2,8/29/22 6:00,569,1
6/26/22 9:48,SJC-MSY-09/01/2022-09/05/2022,SJC,MSY,SJC to MSY,9/1/22,9/5/22,848,9/1/22 11:45,11:45 AM,441,1,9/5/22 6:00,415,1
6/26/22 9:49,SJC-MSY-09/08/2022-09/12/2022,SJC,MSY,SJC to MSY,9/8/22,9/12/22,665,9/8/22 12:08,12:08 PM,417,1,9/12/22 7:00,378,1
6/26/22 9:50,SJC-MSY-09/15/2022-09/19/2022,SJC,MSY,SJC to MSY,9/15/22,9/19/22,742,9/15/22 14:22,2:22 PM,399,1,9/19/22 12:43,590,1
6/26/22 9:51,SJC-MSY-09/22/2022-09/26/2022,SJC,MSY,SJC to MSY,9/22/22,9/26/22,759,9/22/22 6:10,6:10 AM,551,1,9/26/22 16:15,378,1
6/26/22 9:52,SJC-MSY-09/29/2022-10/03/2022,SJC,MSY,SJC to MSY,9/29/22,10/3/22,813,9/29/22 6:10,6:10 AM,551,1,10/3/22 16:15,378,1
6/26/22 9:53,SJC-MSY-10/06/2022-10/10/2022,SJC,MSY,SJC to MSY,10/6/22,10/10/22,668,10/6/22 12:06,12:06 PM,434,1,10/10/22 7:15,500,1
6/26/22 9:54,SJC-MSY-10/13/2022-10/17/2022,SJC,MSY,SJC to MSY,10/13/22,10/17/22,787,10/13/22 12:06,12:06 PM,509,1,10/17/22 7:15,500,1
6/26/22 9:55,SJC-MSY-10/20/2022-10/24/2022,SJC,MSY,SJC to MSY,10/20/22,10/24/22,854,10/20/22 12:06,12:06 PM,434,1,10/24/22 11:28,787,1
6/26/22 9:56,SJC-MSY-10/27/2022-10/31/2022,SJC,MSY,SJC to MSY,10/27/22,10/31/22,836,10/27/22 12:06,12:06 PM,434,1,10/31/22 13:22,688,1
6/26/22 9:57,SJC-MSY-11/03/2022-11/07/2022,SJC,MSY,SJC to MSY,11/3/22,11/7/22,680,11/3/22 11:58,11:58 AM,536,2,11/7/22 14:36,567,1
6/26/22 9:59,SJC-MSY-11/10/2022-11/14/2022,SJC,MSY,SJC to MSY,11/10/22,11/14/22,680,11/10/22 11:58,11:58 AM,536,2,11/14/22 14:36,567,1
6/26/22 10:00,SJC-MSY-11/17/2022-11/21/2022,SJC,MSY,SJC to MSY,11/17/22,11/21/22,596,11/17/22 12:20,12:20 PM,363,1,11/21/22 18:03,385,1
6/26/22 10:01,SJC-MSY-11/24/2022-11/28/2022,SJC,MSY,SJC to MSY,11/24/22,11/28/22,697,11/24/22 14:22,2:22 PM,341,1,11/28/22 14:36,567,1
6/26/22 10:02,SJC-MSY-12/01/2022-12/05/2022,SJC,MSY,SJC to MSY,12/1/22,12/5/22,501,12/1/22 7:32,7:32 AM,514,2,12/5/22 14:36,567,1
6/26/22 10:03,SJC-MSY-12/08/2022-12/12/2022,SJC,MSY,SJC to MSY,12/8/22,12/12/22,497,12/8/22 6:00,6:00 AM,492,1,12/12/22 14:36,567,1
6/26/22 10:05,SJC-MSY-12/22/2022-12/26/2022,SJC,MSY,SJC to MSY,12/22/22,12/26/22,1160,12/22/22 14:22,2:22 PM,341,1,12/26/22 18:03,385,1
6/26/22 10:06,SJC-MSY-12/29/2022-01/02/2023,SJC,MSY,SJC to MSY,12/29/22,1/2/23,1050,12/29/22 14:22,2:22 PM,341,1,1/2/23 14:36,567,1
6/26/22 10:07,LAX-MUC-07/01/2022-07/05/2022,LAX,MUC,LAX to MUC,7/1/22,7/5/22,3010,7/1/22 7:30,7:30 AM,870,1,7/5/22 9:15,985,1
6/26/22 10:08,LAX-MUC-07/08/2022-07/12/2022,LAX,MUC,LAX to MUC,7/8/22,7/12/22,2169,7/8/22 7:35,7:35 AM,865,1,7/12/22 9:15,1147,2
6/26/22 10:09,LAX-MUC-07/15/2022-07/19/2022,LAX,MUC,LAX to MUC,7/15/22,7/19/22,2053,7/15/22 7:35,7:35 AM,865,1,7/19/22 16:15,1790,1
6/26/22 10:10,LAX-MUC-07/22/2022-07/26/2022,LAX,MUC,LAX to MUC,7/22/22,7/26/22,1908,7/22/22 7:35,7:35 AM,865,1,7/26/22 7:15,1365,2
6/26/22 10:11,LAX-MUC-07/29/2022-08/02/2022,LAX,MUC,LAX to MUC,7/29/22,8/2/22,2388,7/29/22 7:35,7:35 AM,865,1,8/2/22 7:15,1157,2
6/26/22 10:12,LAX-MUC-08/05/2022-08/09/2022,LAX,MUC,LAX to MUC,8/5/22,8/9/22,2063,8/5/22 7:35,7:35 AM,865,1,8/9/22 7:15,1157,2
6/26/22 10:14,LAX-MUC-08/12/2022-08/16/2022,LAX,MUC,LAX to MUC,8/12/22,8/16/22,1855,8/12/22 7:35,7:35 AM,865,1,8/16/22 9:15,1122,1
6/26/22 10:15,LAX-MUC-08/19/2022-08/23/2022,LAX,MUC,LAX to MUC,8/19/22,8/23/22,2010,8/19/22 7:30,7:30 AM,870,1,8/23/22 9:15,987,1
6/26/22 10:16,LAX-MUC-08/26/2022-08/30/2022,LAX,MUC,LAX to MUC,8/26/22,8/30/22,1855,8/26/22 7:30,7:30 AM,870,1,8/30/22 9:15,987,1
6/26/22 10:17,LAX-MUC-09/02/2022-09/06/2022,LAX,MUC,LAX to MUC,9/2/22,9/6/22,1855,9/2/22 7:30,7:30 AM,870,1,9/6/22 9:15,987,1
6/26/22 10:18,LAX-MUC-09/09/2022-09/13/2022,LAX,MUC,LAX to MUC,9/9/22,9/13/22,1545,9/9/22 6:00,6:00 AM,960,1,9/13/22 9:15,985,1
6/26/22 10:19,LAX-MUC-09/16/2022-09/20/2022,LAX,MUC,LAX to MUC,9/16/22,9/20/22,1620,9/16/22 7:27,7:27 AM,873,1,9/20/22 9:15,985,1
6/26/22 10:20,LAX-MUC-09/23/2022-09/27/2022,LAX,MUC,LAX to MUC,9/23/22,9/27/22,1695,9/23/22 7:27,7:27 AM,873,1,9/27/22 9:15,985,1
6/26/22 10:22,LAX-MUC-09/30/2022-10/04/2022,LAX,MUC,LAX to MUC,9/30/22,10/4/22,1695,9/30/22 7:27,7:27 AM,873,1,10/4/22 9:15,985,1
6/26/22 10:23,LAX-MUC-10/07/2022-10/11/2022,LAX,MUC,LAX to MUC,10/7/22,10/11/22,1545,10/7/22 7:20,7:20 AM,880,1,10/11/22 9:15,1001,1
6/26/22 10:24,LAX-MUC-10/14/2022-10/18/2022,LAX,MUC,LAX to MUC,10/14/22,10/18/22,1545,10/14/22 7:20,7:20 AM,880,1,10/18/22 9:15,1001,1
6/26/22 10:25,LAX-MUC-10/21/2022-10/25/2022,LAX,MUC,LAX to MUC,10/21/22,10/25/22,1545,10/21/22 7:20,7:20 AM,880,1,10/25/22 9:15,1001,1
6/26/22 10:26,LAX-MUC-10/28/2022-11/01/2022,LAX,MUC,LAX to MUC,10/28/22,11/1/22,1345,10/28/22 7:20,7:20 AM,880,1,11/1/22 9:30,1045,1
6/26/22 10:27,LAX-MUC-11/04/2022-11/08/2022,LAX,MUC,LAX to MUC,11/4/22,11/8/22,1345,11/4/22 8:10,8:10 AM,860,1,11/8/22 9:30,1105,1
6/26/22 10:28,LAX-MUC-11/11/2022-11/15/2022,LAX,MUC,LAX to MUC,11/11/22,11/15/22,1500,11/11/22 6:00,6:00 AM,930,1,11/15/22 9:30,1326,1
6/26/22 10:29,LAX-MUC-11/18/2022-11/22/2022,LAX,MUC,LAX to MUC,11/18/22,11/22/22,1545,11/18/22 6:00,6:00 AM,930,1,11/22/22 9:30,1105,1
6/26/22 10:31,LAX-MUC-12/02/2022-12/06/2022,LAX,MUC,LAX to MUC,12/2/22,12/6/22,1345,12/2/22 6:00,6:00 AM,930,1,12/6/22 9:30,1105,1
6/26/22 10:32,LAX-MUC-12/09/2022-12/13/2022,LAX,MUC,LAX to MUC,12/9/22,12/13/22,1345,12/9/22 6:00,6:00 AM,930,1,12/13/22 9:30,1105,1
6/26/22 10:33,LAX-MUC-12/16/2022-12/20/2022,LAX,MUC,LAX to MUC,12/16/22,12/20/22,1599,12/16/22 6:00,6:00 AM,930,1,12/20/22 9:30,1190,2
6/26/22 10:34,LAX-MUC-12/23/2022-12/27/2022,LAX,MUC,LAX to MUC,12/23/22,12/27/22,1793,12/23/22 6:00,6:00 AM,930,1,12/27/22 7:40,870,1
6/26/22 10:35,LAX-MUC-12/30/2022-01/03/2023,LAX,MUC,LAX to MUC,12/30/22,1/3/23,1700,12/30/22 6:00,6:00 AM,930,1,1/3/23 9:30,1105,1
