time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-07-06 11:19:08,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,07/07/2022,07/11/2022,807.00,07-07-2022 06:10:00,414,1,07-11-2022 07:25:00,625,2
2022-07-06 11:20:10,SJC-MSY-07/14/2022-07/18/2022,SJC,MSY,07/14/2022,07/18/2022,757.00,07-14-2022 06:10:00,414,1,07-18-2022 06:00:00,710,2
2022-07-06 11:21:12,SJC-MSY-07/21/2022-07/25/2022,SJC,MSY,07/21/2022,07/25/2022,869.00,07-21-2022 09:08:00,693,2,07-25-2022 06:00:00,710,2
2022-07-06 11:22:14,SJC-MSY-07/28/2022-08/01/2022,SJC,MSY,07/28/2022,08/01/2022,895.00,07-28-2022 09:08:00,693,2,08-01-2022 06:00:00,710,2
2022-07-06 11:23:17,SJC-MSY-08/04/2022-08/08/2022,SJC,MSY,08/04/2022,08/08/2022,864.00,08-04-2022 09:08:00,693,2,08-08-2022 07:25:00,625,2
2022-07-06 11:24:14,SJC-MSY-08/11/2022-08/15/2022,SJC,MSY,08/11/2022,08/15/2022,808.00,08-11-2022 09:08:00,693,2,08-15-2022 15:55:00,385,1
2022-07-06 11:25:16,SJC-MSY-08/18/2022-08/22/2022,SJC,MSY,08/18/2022,08/22/2022,618.00,08-18-2022 14:22:00,393,1,08-22-2022 10:45:00,595,2
2022-07-06 11:26:16,SJC-MSY-08/25/2022-08/29/2022,SJC,MSY,08/25/2022,08/29/2022,570.00,08-25-2022 11:45:00,441,1,08-29-2022 10:45:00,595,2
2022-07-06 11:27:17,SJC-MSY-09/01/2022-09/05/2022,SJC,MSY,09/01/2022,09/05/2022,847.00,09-01-2022 11:45:00,441,1,09-05-2022 06:00:00,415,1
2022-07-06 11:28:18,SJC-MSY-09/08/2022-09/12/2022,SJC,MSY,09/08/2022,09/12/2022,617.00,09-08-2022 06:10:00,433,1,09-12-2022 07:00:00,378,1
2022-07-06 11:29:21,SJC-MSY-09/15/2022-09/19/2022,SJC,MSY,09/15/2022,09/19/2022,710.00,09-15-2022 09:15:00,683,2,09-19-2022 12:43:00,590,1
2022-07-06 11:30:21,SJC-MSY-09/22/2022-09/26/2022,SJC,MSY,09/22/2022,09/26/2022,759.00,09-22-2022 06:10:00,551,1,09-26-2022 16:15:00,378,1
2022-07-06 11:31:22,SJC-MSY-09/29/2022-10/03/2022,SJC,MSY,09/29/2022,10/03/2022,757.00,09-29-2022 09:15:00,683,2,10-03-2022 11:29:00,664,1
2022-07-06 11:32:23,SJC-MSY-10/06/2022-10/10/2022,SJC,MSY,10/06/2022,10/10/2022,668.00,10-06-2022 12:06:00,434,1,10-10-2022 07:15:00,500,1
2022-07-06 11:33:26,SJC-MSY-10/13/2022-10/17/2022,SJC,MSY,10/13/2022,10/17/2022,787.00,10-13-2022 12:06:00,509,1,10-17-2022 15:09:00,449,1
2022-07-06 11:34:29,SJC-MSY-10/20/2022-10/24/2022,SJC,MSY,10/20/2022,10/24/2022,868.00,10-20-2022 12:06:00,434,1,10-24-2022 15:09:00,449,1
2022-07-06 11:35:31,SJC-MSY-10/27/2022-10/31/2022,SJC,MSY,10/27/2022,10/31/2022,781.00,10-27-2022 06:10:00,492,2,10-31-2022 14:36:00,567,1
2022-07-06 11:36:33,SJC-MSY-11/03/2022-11/07/2022,SJC,MSY,11/03/2022,11/07/2022,628.00,11-03-2022 12:20:00,363,1,11-07-2022 14:36:00,567,1
2022-07-06 11:37:35,SJC-MSY-11/10/2022-11/14/2022,SJC,MSY,11/10/2022,11/14/2022,628.00,11-10-2022 06:00:00,351,1,11-14-2022 14:36:00,567,1
2022-07-06 11:38:38,SJC-MSY-11/17/2022-11/21/2022,SJC,MSY,11/17/2022,11/21/2022,607.00,11-17-2022 14:22:00,341,1,11-21-2022 14:36:00,567,1
2022-07-06 11:39:40,SJC-MSY-11/24/2022-11/28/2022,SJC,MSY,11/24/2022,11/28/2022,665.00,11-24-2022 14:22:00,341,1,11-28-2022 18:03:00,385,1
2022-07-06 11:40:42,SJC-MSY-12/01/2022-12/05/2022,SJC,MSY,12/01/2022,12/05/2022,497.00,12-01-2022 06:00:00,351,1,12-05-2022 14:36:00,567,1
2022-07-06 11:41:45,SJC-MSY-12/08/2022-12/12/2022,SJC,MSY,12/08/2022,12/12/2022,497.00,12-08-2022 06:00:00,351,1,12-12-2022 14:36:00,567,1
2022-07-06 11:42:47,SJC-MSY-12/15/2022-12/19/2022,SJC,MSY,12/15/2022,12/19/2022,860.00,12-15-2022 14:22:00,341,1,12-19-2022 14:36:00,578,2
2022-07-06 11:43:49,SJC-MSY-12/22/2022-12/26/2022,SJC,MSY,12/22/2022,12/26/2022,1080.00,12-22-2022 12:20:00,363,1,12-26-2022 18:03:00,385,1
2022-07-06 11:44:49,SJC-MSY-12/29/2022-01/02/2023,SJC,MSY,12/29/2022,01/02/2023,1050.00,12-29-2022 14:22:00,341,1,01-02-2023 09:52:00,384,1
2022-07-06 11:45:50,SJC-MSY-01/05/2023-01/09/2023,SJC,MSY,01/05/2023,01/09/2023,498.00,01-05-2023 14:22:00,341,1,01-09-2023 14:08:00,606,2
2022-07-06 11:47:02,LAX-MUC-07/08/2022-07/12/2022,LAX,MUC,07/08/2022,07/12/2022,3162.00,07-08-2022 07:35:00,865,1,07-12-2022 10:55:00,1130,1
2022-07-06 11:48:06,LAX-MUC-07/15/2022-07/19/2022,LAX,MUC,07/15/2022,07/19/2022,2342.00,07-15-2022 07:35:00,865,1,07-19-2022 07:30:00,1335,2
2022-07-06 11:49:07,LAX-MUC-07/22/2022-07/26/2022,LAX,MUC,07/22/2022,07/26/2022,2187.00,07-22-2022 07:35:00,865,1,07-26-2022 10:55:00,1189,2
2022-07-06 11:50:13,LAX-MUC-07/29/2022-08/02/2022,LAX,MUC,07/29/2022,08/02/2022,2437.00,07-29-2022 07:35:00,865,1,08-02-2022 07:15:00,1393,2
2022-07-06 11:53:38,LAX-MUC-08/05/2022-08/09/2022,LAX,MUC,08/05/2022,08/09/2022,2177.00,08-05-2022 07:35:00,865,1,08-09-2022 12:40:00,1025,1
2022-07-06 11:54:42,LAX-MUC-08/12/2022-08/16/2022,LAX,MUC,08/12/2022,08/16/2022,1909.00,08-12-2022 07:35:00,865,1,08-16-2022 09:15:00,1146,2
